rank,best_thesis,best_adj,name,domain,vertical,region,banyan_tier,banyan_adj,banyan_conf,growth_tier,growth_adj,growth_conf,already_acquired_or_public
1,growth,0.743,Harvey,harvey.ai,Legal AI,US,C,0.525,0.545,A,0.743,0.642,False
2,growth,0.729,Abridge,abridge.com,Clinical documentation AI,US,C,0.513,0.530,A,0.729,0.620,False
3,growth,0.695,Sierra,sierra.ai,Customer service AI agents,US,C,0.425,0.500,B,0.695,0.585,False
4,growth,0.694,ClickHouse,clickhouse.com,Data infrastructure / OLAP database,US,C,0.448,0.493,B,0.694,0.568,False
5,growth,0.693,Clay,clay.com,AI GTM / sales data,US,C,0.433,0.505,B,0.693,0.580,False
6,growth,0.689,AlphaSense,alpha-sense.com,Market intelligence AI,US,C,0.468,0.562,B,0.689,0.620,False
7,growth,0.684,Legora,legora.com,Legal AI,Sweden,C,0.492,0.515,B,0.684,0.595,False
8,growth,0.669,Chainguard,chainguard.dev,Software supply-chain security,US,C,0.519,0.453,B,0.669,0.543,False
9,growth,0.667,Vanta,vanta.com,Security & compliance automation,US,C,0.432,0.450,B,0.667,0.525,False
10,growth,0.665,Grafana Labs,grafana.com,Observability / monitoring,US,C,0.462,0.497,B,0.665,0.547,False
11,growth,0.656,Linear,linear.app,Developer workflow / issue tracking,US,C,0.518,0.527,B,0.656,0.557,False
12,growth,0.656,Rogo,rogo.com,Finance / investment banking AI,US,C,0.495,0.450,B,0.656,0.530,False
13,growth,0.646,EvenUp,evenuplaw.com,Legal / personal injury,US,C,0.490,0.507,B,0.646,0.565,False
14,growth,0.645,Modal,modal.com,AI/ML infrastructure / serverless compute,US,rejected,0.429,0.440,B,0.645,0.505,False
15,growth,0.636,Decagon,decagon.ai,Customer support AI agents,US,C,0.427,0.445,B,0.636,0.527,False
16,growth,0.634,Ambience Healthcare,ambiencehealthcare.com,Clinical AI,US,C,0.480,0.428,B,0.634,0.518,False
17,banyan,0.631,HawkSoft,hawksoft.com,Insurance agency management,US,B,0.631,0.520,C,0.440,0.430,False
18,growth,0.613,Tennr,tennr.com,Healthcare referrals AI,US,C,0.468,0.428,B,0.613,0.510,False
19,banyan,0.613,Rentec Direct,rentecdirect.com,Property management software,US,B,0.613,0.560,C,0.406,0.450,False
20,growth,0.611,Aikido Security,aikido.dev,Security / unified AppSec platform (SMB-focused),Belgium,rejected,0.469,0.440,B,0.611,0.480,False
21,growth,0.609,LangChain,langchain.com,AI/ML infrastructure / LLM orchestration,US,rejected,0.460,0.440,B,0.609,0.480,False
22,banyan,0.607,Infinite Campus,infinitecampus.com,K-12 student information system / district administration,US,B,0.607,0.428,C,0.457,0.385,False
23,growth,0.606,Hippocratic AI,hippocraticai.com,Healthcare agent AI,US,C,0.464,0.418,B,0.606,0.497,False
24,growth,0.606,Tailscale,tailscale.com,Networking / security infrastructure (WireGuard VPN),Canada,C,0.530,0.505,B,0.606,0.515,False
25,growth,0.605,Aiven,aiven.io,Managed open-source data infrastructure,Finland,C,0.410,0.428,B,0.605,0.498,False
26,growth,0.601,Astronomer,astronomer.io,Data orchestration / managed Airflow,US,C,0.451,0.455,B,0.601,0.508,False
27,banyan,0.600,Jane App,jane.app,Health/wellness practice management,Canada,B,0.600,0.500,B,0.555,0.447,False
28,banyan,0.600,Skyward,skyward.com,K-12 SIS / school ERP,US,B,0.600,0.428,C,0.441,0.385,False
29,banyan,0.597,ClassLink,classlink.com,K-12 identity / single sign-on / rostering,US,B,0.597,0.432,C,0.468,0.385,False
30,growth,0.596,Nabla,nabla.com,Clinical assistant AI,France / US,C,0.489,0.475,B,0.596,0.527,False
31,growth,0.595,Temporal,temporal.io,Workflow orchestration / durable execution,US,C,0.449,0.428,B,0.595,0.483,False
32,banyan,0.595,Schedulefly,schedulefly.com,Restaurant scheduling,US,B,0.595,0.428,C,0.354,0.367,False
33,growth,0.595,Freed,getfreed.ai,Medical scribe AI,US,C,0.489,0.475,B,0.595,0.520,False
34,growth,0.594,Pinecone,pinecone.io,AI/ML infrastructure / vector database,US,rejected,0.476,0.460,B,0.594,0.475,False
35,banyan,0.593,Edupoint,edupoint.com,K-12 SIS / LMS / administration (Synergy),US,B,0.593,0.432,C,0.449,0.385,False
36,growth,0.590,Render,render.com,Cloud application hosting / PaaS infrastructure,US,rejected,0.474,0.475,B,0.590,0.490,False
37,banyan,0.589,Corelation,corelationinc.com,Credit-union core banking,US,B,0.589,0.455,C,0.465,0.410,False
38,growth,0.589,WorkOS,workos.com,Developer tools / enterprise auth infrastructure,US,C,0.524,0.495,B,0.589,0.500,False
39,growth,0.588,Rad AI,radai.com,Radiology workflow AI,US,C,0.482,0.433,B,0.588,0.503,False
40,growth,0.588,Socket,socket.dev,Open-source supply-chain security,US,C,0.459,0.385,B,0.588,0.465,False
41,growth,0.587,BuildOps,buildops.com,Commercial contractor FSM,USA,rejected,0.489,0.460,B,0.587,0.450,False
42,banyan,0.586,OwnerRez,ownerrez.com,Short-term rental PMS,US,B,0.586,0.495,C,0.386,0.415,False
43,growth,0.584,Tines,tines.com,Security / no-code automation & orchestration (SOAR),Ireland,C,0.486,0.455,B,0.584,0.470,False
44,growth,0.582,Semgrep,semgrep.dev,Security / static analysis (SAST),US,C,0.485,0.445,B,0.582,0.470,False
45,growth,0.582,Hebbia,hebbia.com,Finance / legal document AI,US,C,0.549,0.500,B,0.582,0.508,False
46,growth,0.582,Sardine,sardine.ai,Fintech infrastructure / fraud & compliance,US,C,0.464,0.425,B,0.582,0.450,False
47,banyan,0.581,QT9 Software,qt9software.com,QMS + ERP for regulated manufacturers,US,B,0.581,0.458,C,0.433,0.398,False
48,banyan,0.581,Rent Manager / LCS,rentmanager.com,Property management software,US,B,0.581,0.535,C,0.431,0.450,False
49,growth,0.578,Clerk,clerk.com,Auth / developer identity platform,US,C,0.408,0.398,B,0.578,0.468,False
50,growth,0.578,DoorLoop,doorloop.com,Property management software,US,C,0.474,0.510,B,0.578,0.510,False
51,growth,0.578,Eudia,eudia.com,Corporate legal AI,US,C,0.466,0.445,B,0.578,0.500,False
52,growth,0.577,Hostaway,hostaway.com,Short-term rental PMS,Canada,C,0.466,0.450,B,0.577,0.490,False
53,growth,0.577,Railway,railway.com,Cloud application hosting / deployment infrastructure,US,rejected,0.448,0.440,B,0.577,0.460,False
54,growth,0.576,Endor Labs,endorlabs.com,Security / software supply chain & SCA,US,rejected,0.456,0.410,B,0.576,0.445,False
55,growth,0.576,Retool,retool.com,Developer tools / internal app builder,US,C,0.475,0.515,B,0.576,0.500,False
56,growth,0.575,Spellbook,spellbook.com,Contract legal AI,Canada,C,0.474,0.430,B,0.575,0.492,False
57,growth,0.573,Turbopuffer,turbopuffer.com,AI/ML infrastructure / vector + search database,Canada,C,0.504,0.390,B,0.573,0.420,False
58,banyan,0.572,Aeries Software,aeries.com,K-12 student information system,US,B,0.572,0.418,C,0.423,0.380,False
59,banyan,0.572,Advyzon,advyzon.com,Wealth/advisor all-in-one platform,US,B,0.572,0.430,C,0.438,0.370,False
